PREFIX,LABEL
AD,ADRENALIN PRODUCTION MUSIC LIBRARY
AD-SR,ADRENALIN PRODUCTION MUSIC LIBRARY
ADV,ADRENALIN VOCALS
AMPT,AMPLITUDE
ANTX,CRACK-UP MUSIC
A-TEN,A-TENSION
CRKU,CRACK-UP MUSIC
LC,LOGICAL CHOICE
A7,ATLANTIC SEVEN
AAM,AUDIO ADDICTION MUSIC
ACL,AIRCRAFT
AML,ACTIVE
AMP,AMP
APD,APOLLO DECADES
APF,APOLLO FRONTRUNNERS
APLS,APOLLO LIFESTYLE
APL,APOLLO LIVE
APO,APOLLO ORGANIC
APV,APOLLO VOCALS
AS,ARTIST SERIES
ATO,ATOMICA MUSIC
AURA,AURA
AURL,AURALATION MUSIC LIBRARY
BCT,BEATCLOCK TRAX
BDL,BDL
BDM,BUILD DESTROY MUSIC
BLM,BLACK LABEL PRODUCTIONS
BLP,BL PRODUCTIONS
BOOM,BOOM MUSIC
BPM,KYLE NEWMASTER
BPM,MUSIC FREAK RECORDS
BPM,RUNAWAY RECORDS
BZT,BONZAI TRAX
CAT,CATAPULT MUSIC
CAV,CAVENDISH MUSIC
CCB,CEZAME CARTE BLANCHE
CDM,CLEARSIDE
CEG,CEZAME GLOBAL INVESTIGATION
CEO,CEZAME ORIGINAL SCORE
CET,CEZAME TRAILERS
CEV,CEZAME VIRTUEL
CEZ,CEZAME
COR,CORDOVAN MUSIC
CP,CATCH PHRASE
CTM,COLOSSAL TRAILER MUSIC
CYPT,CYPHER TM
DBM,DOWN BOYS MUSIC
DDC,TWO CROWNS PUBLISHING
DGS,DOUBLE G STUDIOS MUSIC
DHM,DARK HORSE MUSIC
DHV,DARK HORSE VOCAL
EKT,ELEKT MUSIC
EOS,ART MELODIES
EPM,ENERGIZE PRODUCTION MUSIC
ET,EAR TONIC MUSIC
EVOC,EVOCATIVITY
FBMR,FANTASTIC BEAT MACHINE RECORDS
FG,FIGURE AND GROOVE
FGAF,ARTIST FRIENDLY
FGMN,MINIMALISM
FGP,PRESENTS
FHM,FUTURE HITS
FMCD,FM RECORDS
FOF,405 MUSIC
FSD,FORZA TRAILER & SOUND DESIGN
GM,GROVES MUSIC
GMPM,GREY MAN PRODUCTION MUSIC
GMT,GUM MOTION TRACKS
GN,GOOD NEIGHBOR MUSIC
GNXT,GEN NEXT
GSML,GEORGE SHAW MUSIC LIBRARY
GT,GRAFFITI TRACKS
GUM,GUM COLLECTION
HBM,HOLLYWOOD BUZZ MUSIC
HML,HANDSOME MUSIC
HTM,HEN'S TEETH MUSIC
IMP,IMPULSION
INTCD,INTERMEDE MUSIC
ISTAND,ISTANDARD
JAMP,JAMMIN' PLANET
JAS,JOHN ANDREW SCHREINER MUSIC
JB,JIM BACCHI CATALOG
KAT,KOOL KAT MUSIC
KCM,KING CAFFEINE MUSIC
KON,KONSONANT MUSIC
KONB,KONSONANT MUSIC B
LE,LOUD EAR MUSIC
LH,LAB HITS
LHN,LUCAS CANTOR LIBRARY
LONE,LONE SOUND
MAG,MAGNETIC RECORDS
MBM,MEMORY BOX MUSIC
MCCD,MUSICAL CONCEPTS
MDM,METHODIC DOUBT MUSIC
MDM,METHODIC PREMIUM
MEM,ME ENEMY MUSIC
MFM,MUCHO FRUTO MUSIC
MFP,MUSIC FOR PRODUCTIONS - LIBRARY
MNL,MINIMALISM
MODE,MODE PRODUCTION MUSIC
MOVE,MOVE MUSIC
MRG,MERGE MUSIC
MSU,MUSOU PRODUCTION MUSIC
MXML,MEXICAN MUSIC LIBRARY
NKM,NINJA KITTY MUSIC
NWCD,NEW WORLD MUSIC
OLMG,OPENING LINE MUSIC GROUP
OPUS01,OPUS 1 MUSIC LIBRARY
PB,PREMIER BOX OFFICE
PSM,PILO AND SMITH
PT,PREMIER TRACKS
PT VOC,PREMIER TRACKS VOCALS
PUR,PURE
PURM,PURE MUSIC
RMC,RESOLUTION MUSIC COLLECTION
RPM,REVOLT PRODUCTION MUSIC
RS,ROBA SERIES
RTM,RAVE TRAIN MUSIC
RV,REVOLUTION
RV,REVOLUTION SOUND DESIGN
RV,REVOLUTION U.S.
SA,SONIC ADDICTION
SCL,ALL MUSIC GALLERY
SCOR,SCORE SUITE
SCQ,SOUNDIVA CLASSICAL
SDCD,SOUNDIVA
SGT,SURGETRAX
SIG,SIGNAL
SMX,SMASHTRAX
SPRS,SPARSE MUSIC
SPS,SPOT SOCIETY
SSN,SUPER SONIC NOISE
SSS,SOUL STUDIO 7
STYLE,STYLE TRAX
TOA,TREE OF ARTS
TOA-C,TREE OF ARTS CLASSICS
TQE,TORQUE ELEMENTS
TQM,TORQUE MUSIC
TS,TELESONGZ
TSM,TAPE STOP MUSIC
TT,TELETUNEZ
TWAS,TWELVETONES ART SERIES
TWPM,TWELVETONES MAIN SERIES
UCM,UNDERCURRENTS MUSIC
UDU,UPDOWNUP
UPM,UNITY PRODUCTION MUSIC LIBRARY
VC,VTOWN CARTEL MUSIC
VGM,VELVET GREEN MUSIC
WWM,WILD WHIRLED MUSIC
XCM,XUERAN CHEN MUSIC
ZIK,MUSIQUE & MUSIC
ZZZOPUS,OPUS 1 MUSIC LIBRARY - SPECIALTY COLLECTION
03M,ZERO3 MUSIC
12T,TWELVE TITANS MUSIC
1VU,1 VERSATILE UNDERSCORE
4AS,411 ARTIST SERIES
4EW,EXOTIC WORLDS
4HS,HYPERSONIC
4MG,411 PRODUCTION MUSIC SONGS
4TM,411 TRAILER MUSIC
4US,411 PRODUCTION MUSIC UNDERSCORE
ABS,ABSOLUTE MUSIC
AFRO,SONOTON AFRO
ALGO,ALGO RECORDS
ALIBI,ALIBI MUSIC
ALL,ALL SORTS MUSIC
ALSO,ALL SORTS (OF) DRAMA
AM,AMUSICOM
AMPS,AMPHONIC
AMY,AMYGDALA
ANGER,ANGER MUSIC
ART,ARTSOUND
AT,APPLE TRAX
ATOM,ATOM MUSIC AUDIO
AUDIA,AUDIA
AUM,AUDIOMACHINE
AUMT,AUDIOMACHINE SOUND DESIGN
AVF,SOUND STAGE
AZ (TBC),AVALON ZERO
BAK,BEATS BAKERY
BAM,BAM
BAMA,BAM ARTIST SERIES
BAM-BX,BAM BOX
BBB,BING BANG BOOM
BBX,BEATBOX
BEAT,BEAT BITES
BKM,BLACK KNIGHT MUSIC
BLINQ,BLINQ
BLLM,BRILLIANT MUSIC
BNA,BRAVE NEW AUDIO
BOM,BLAZED OUT MUSIC
BRFM,BETA RHYTHM FARM
BRO,BROTHER MUSIC
BURN,BURN
BWA,BRICKWALL AUDIO
BXM,BRAND X PRODUCTION MUSIC
BXM,BRAND X TRAILER MUSIC
BXMT,BRAND X THEATRICAL
BXP,BEAT XPLOSION
BZZ,THE BUZZ
CDM,CDM MUSIC
CFM,CANDY FLIP
CLC,COMMERCIAL LENGTH CUTS
CLXY,FANTASY CLASSICAL
CMX,CONFIDENTIAL MUSIC
CNS,COMMERCIALS NON-STOP
CPM,COSMIND PRODUCTION MUSIC
CRB,CROSSBREED MUSIC
CRV,CRE8V
CS,CUE SOURCE MUSIC
CSH,CRUSH
CTM,CINEMASOUNDS TRAILER MUSIC
CTRX,CINETRAX
