CLIP NAME                     ,START TIME    ,END TIME      ,DURATION      
STN006 02 2 TEAM SPACE LIGHT AIF new 02,10:00:01:00,10:00:32:02,00:00:31:02
XRC035 03 5 BASKET CASE NO ORCHESTRA AIF new 02 Bounced,10:00:30:16,10:00:50:15,00:00:19:24
XMT618 30 MATH LAB WAV new 01 Bounced,10:00:50:10,10:01:17:10,00:00:27:00
XCD187 01 2 IF YOU BELIEVE (1) AIF new 01 Bounced,10:01:16:20,10:02:15:14,00:00:58:19
STN006 02 9 TEAM SPACE BASS AND PERCUSSION ONLY AIF new 01 Boun,10:02:11:04,10:02:21:06,00:00:10:02
UPM ATMOS347 4 Light From Dark Main Track Pollard Salkeld 89827,10:02:20:15,10:02:42:13,00:00:21:23
XRC054 04 NOT THIS TIME AIF new 01 Bounced,10:02:41:00,10:03:10:10,00:00:29:10
SCS107 01 LETS GET THIS DONE AIF new 01 Bounced,10:03:13:15,10:04:25:10,00:01:11:20
UPM KOS681 1 Always A Way Instrumental Rodescu Kalfayan 1292950,10:04:21:15,10:04:58:07,00:00:36:17
01 - Hard Decision - A Yefymov - MNM059 aiff new 01 01 - Hard D,10:04:57:20,10:05:35:15,00:00:37:20
UPM ATMOS295 4 Diamond Dust Main Track Henries Holborn 662526 a,10:05:35:05,10:05:55:04,00:00:19:24
UPM CHAP368 18 Slowly Evolve Main Track Glynn 453946 aiff new 0,10:05:52:14,10:06:28:09,00:00:35:20
KPM KPM 0956 00401 DIGITAL CLOUDS A Glenn Herweijer Ben Sumner ,10:06:28:03,10:07:23:12,00:00:55:09
XCD516 07 2 SHOUT IT LOUD INSTRUMENTAL AIF new 01 Bounced,10:07:22:01,10:08:14:21,00:00:52:20
UPM KOS493 5 Little Tricks Main Track Sarkissian 852091 aiff ne,10:08:13:16,10:08:36:03,00:00:22:12
XCD383 02 2 WE ARE WONDERFUL INSTRUMENTAL AIF new 01 Bounced,10:08:58:18,10:09:42:22,00:00:44:04
